1,183.75,167,20.5,50,105.28
1,-0.38462,170.77,31.538,76.923,94.708
1,211.75,175,20.5,50,81.506
1,608.85,158.46,31.538,76.923,66.695
1,20.405,169.95,26.574,64.814,63.688
1,608.85,238.46,31.538,76.923,58.815
1,619.75,295,20.5,50,55.897
1,344.23,4.6154,31.538,76.923,54.102
1,279.32,169.09,22.378,54.581,50.655
1,443.75,227,20.5,50,50.286
1,551.75,263,20.5,50,45.582
1,619.75,-1,20.5,50,44.677
1,599.5,94,41,100,41.049
1,608.85,29.231,31.538,76.923,37.465
1,608.85,207.69,31.538,76.923,32.553
1,19.686,387.69,34.371,83.831,31.613
1,31,-4,82,200,30.062
1,116.54,164.62,31.538,76.923,26.013
1,255.75,139,20.5,50,20.663
1,-0.54422,32.727,44.668,108.95,20.519
1,61.561,169.9,24.374,59.449,16.442
1,203.19,64.941,57.981,141.42,9.9552
2,-0.35242,168,28.917,70.528,105.92
2,183.21,169.09,22.378,54.581,83.024
2,619.75,191,20.5,50,78.994
2,608.85,256.92,31.538,76.923,67.836
2,211.75,175,20.5,50,60.393
2,347.06,17.822,24.374,59.449,50.838
2,279.75,171,20.5,50,43.339
2,31,-4,82,200,41.142
2,82.591,169.95,26.574,64.814,40.623
2,599.5,102,41,100,40.069
2,619.75,235,20.5,50,34.834
2,19.686,387.69,34.371,83.831,32.097
2,543.75,263,20.5,50,29.893
2,271.75,187,20.5,50,24.434
2,7.75,99,20.5,50,23.389
2,307.75,163,20.5,50,21.029
2,-0.25,107,20.5,50,18.327
2,613.53,-1.1881,24.374,59.449,17.88
2,439.75,227,20.5,50,14.377
2,205.05,108,22.378,54.581,5.5805
3,619.75,299,20.5,50,91.493
3,5.7692,170.77,31.538,76.923,77.924
3,183.21,164.73,22.378,54.581,74.227
3,20.405,169.95,26.574,64.814,68.634
3,577.69,169.23,63.077,153.85,66.148
3,619.75,-1,20.5,50,62.49
3,153.46,170.77,31.538,76.923,50.603
3,344.23,4.6154,31.538,76.923,49.926
3,279.75,175,20.5,50,47.374
3,504.09,245.94,24.374,59.449,45.351
